,index,book_title,author_id,Year released,Rating,ratings
227,562,"Under the Never Sky (Under the Never Sky, #1)",260.0,2011,3.99,113454.0
228,563,"A Night Like This (Smythe-Smith Quartet, #2)",20.0,2012,3.87,26914.0
229,564,"Beard Science (Winston Brothers, #3)",118.0,2016,4.41,31256.0
230,565,RoomHate (Paperback),261.0,2016,3.9,59673.0
231,566,"Never Never (Never Never, #1)",7.0,2015,4.02,86589.0
232,567,The Sky Is Everywhere (Hardcover),161.0,2010,3.97,102011.0
233,568,"Key of Light (Key Trilogy, #1)",93.0,2003,4.17,59041.0
234,569,"Dating Dr. Dil (If Shakespeare was an Auntie, #1)",262.0,2022,3.73,29881.0
235,570,"Lady Midnight (The Dark Artifices, #1)",37.0,2016,4.37,209164.0
236,572,Stuck-Up Suit (ebook),250.0,2016,4.1,65530.0
237,573,"Finding Cinderella (Hopeless, #2.5)",7.0,2013,4.16,87058.0
238,574,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",93.0,2013,3.95,60592.0
239,576,"Perfection (Neighbor from Hell, #2)",117.0,2011,4.13,64231.0
240,577,"Rubinrot (Edelstein-Trilogie, #1)",263.0,2009,4.12,138597.0
241,578,Luna and the Lie (ebook),35.0,2018,4.1,43382.0
242,579,"Portrait of a Scotsman (A League of Extraordinary Women, #3)",57.0,2021,3.88,22701.0
243,580,"Bound by Honor (Born in Blood Mafia Chronicles, #1)",264.0,2014,3.87,77006.0
244,581,One Plus One (Paperback),11.0,2014,3.95,162582.0
245,582,"A Knight in Shining Armor (Montgomery/Taggert Family, #13)",265.0,1989,4.2,35480.0
246,583,"Ten Ways to Be Adored When Landing a Lord (Love By Numbers, #2)",104.0,2010,3.88,24842.0
247,584,"Smooth Talking Stranger (Travises, #3)",68.0,2009,4.14,39342.0
248,585,The Two Lives of Lydia Bird (Hardcover),62.0,2020,3.76,56854.0
249,586,"The Perfect Hope (Inn Boonsboro Trilogy, #3)",93.0,2012,4.17,43739.0
250,587,"Once Burned (Night Prince, #1)",141.0,2012,4.2,66290.0
251,588,My Killer Vacation (ebook),31.0,2022,3.83,47186.0
252,590,"Tears of the Moon (Gallaghers of Ardmore, #2)",93.0,2000,4.19,33160.0
253,591,"Heaven and Earth (Three Sisters Island, #2)",93.0,2001,4.14,40486.0
254,592,"The Trouble with Hating You (The Trouble with Hating You, #1)",266.0,2020,3.83,19351.0
255,593,"Cry Wolf (Alpha & Omega, #1)",267.0,2008,4.12,97790.0
256,594,"An Echo in the Bone (Outlander, #7)",13.0,2009,4.43,139381.0
257,595,Don't You Forget About Me (Kindle Edition),119.0,2019,3.87,40746.0
258,596,"Will Grayson, Will Grayson (Hardcover)",1.0,2010,3.72,378446.0
259,597,"The Air He Breathes (Elements, #1)",268.0,2015,4.17,57678.0
260,598,"Breathe (Sea Breeze, #1)",124.0,2011,3.85,82311.0
261,599,"Natural Born Charmer (Chicago Stars, #7)",163.0,2007,4.15,35013.0
0,601,"A Kiss at Midnight (Fairy Tales, #1)",220.0,2010,3.8,19209.0
1,602,"The American Roommate Experiment (Spanish Love Deception, #2)",22.0,2022,4.01,23341.0
2,604,Tell Me Three Things (Hardcover),269.0,2016,4.05,70824.0
3,605,"The Princess Diaries (The Princess Diaries, #1)",270.0,2000,3.8,247084.0
4,606,"A Lot like Love (FBI/US Attorney, #2)",168.0,2011,4.07,31866.0
5,607,Lock and Key (Hardcover),153.0,2008,4.0,147313.0
6,608,"Rock Chick (Rock Chick, #1)",231.0,2008,4.17,56208.0
7,610,"Flock (The Ravenhood, #1)",272.0,2020,4.14,65945.0
